,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
1493,tha,1997,lumber,2.9863,0.9127,0.1911,8.4518,1.3414,2.0551,6.756,3.3099,474.432,0.3935,7.7586,1.0539,0.4661,4.8939,24.3802,49.6821,159.734,0.0267,177.555,19.389,7.892,0.1134,-0.1419,0.4924,3.5141,6.5856,11.5129,lumber,0.8304,0.2526,0.1033,4.6477,0.0665,1.6154,2.2533,1.8058,484.21,0.2165,6.0785,1.1378,0.4964,2.286,2.3069,43.4694,78.1484,0.0008,0.4517,1.5585,4.6381,0.0223,0.0079,0.108,2.5428,0.1319,0.1635,0.370221,0.015779,0.017608,0.013917,0.019182
1494,tha,1997,paperpub,5.6978,2.1147,2.8413,48.7122,29.6163,15.0256,51.1226,31.695,13.2943,337.477,43.7381,8.4466,2.6456,7.1644,45.3248,90.8666,36.9634,0.8166,76.1825,62.0984,99.7822,3.0536,-4.5592,6.2193,101.575,55.3276,216.11,paperpub,1.5843,0.5853,1.5354,26.7868,1.4682,11.8106,17.0505,17.2919,13.5683,185.671,34.2668,9.1197,2.8173,3.3466,4.2887,79.5039,18.084,0.0259,0.1938,4.9915,58.6417,0.6019,0.2546,1.3637,73.4992,1.1081,3.0682,0.357486,0.00627,0.006757,0.012458,0.006301
1495,tha,1997,chemicals,9.4351,3.7167,1.4863,50.0926,13.3543,75.8943,108.507,59.7227,5.3181,1.8729,2104.28,2.3624,1.9848,10.3487,128.096,146.353,41.2481,0.3542,88.9572,24.3975,143.682,0.824,-0.4797,1.0322,34.5468,61.2816,85.8545,chemicals,2.6235,1.0286,0.8032,27.5459,0.662,59.6554,36.1895,32.583,5.4277,1.0304,1648.61,2.5507,2.1136,4.834,12.1205,128.052,20.1802,0.0112,0.2263,1.9611,84.4416,0.1624,0.0268,0.2263,24.9979,1.2273,1.2189,0.25292,0.077374,0.058987,0.045707,0.082459
1496,tha,1997,nonmetmin,1.9372,1.8342,0.6875,15.4631,19.7579,1.1681,2.5149,1.8772,0.8266,0.6415,10.9431,469.24,3.732,3.2387,49.1706,78.7553,8.1592,0.1814,1659.81,8.1801,14.3394,0.2479,-0.277,0.411,4.2595,14.8591,25.656,nonmetmin,0.5387,0.5076,0.3715,8.5032,0.9795,0.9182,0.8388,1.0242,0.8436,0.353,8.5734,506.63,3.9742,1.5128,4.6526,68.9071,3.9918,0.0058,4.223,0.6575,8.4273,0.0489,0.0155,0.0901,3.0821,0.2976,0.3643,0.379085,0.016982,0.019404,0.013716,0.019928
1497,tha,1997,metals,1.5014,1.1502,0.5486,8.8423,3.8175,1.0627,2.4579,1.8923,0.9571,0.3911,4.1465,23.556,345.957,54.5418,86.0264,243.247,16.1407,0.0845,423.224,4.1196,22.4406,0.2425,-0.1663,0.2697,12.4183,8.906,15.0163,metals,0.4175,0.3183,0.2964,4.8624,0.1892,0.8353,0.8198,1.0324,0.9768,0.2152,3.2486,25.433,368.41,25.477,8.1399,212.829,7.8967,0.0027,1.0768,0.3311,13.1883,0.0478,0.0093,0.0591,8.9858,0.1784,0.2132,0.273202,0.017123,0.014101,0.014916,0.012209
1498,tha,1997,fabmetals,6.6198,3.0874,0.484,40.5392,8.6704,2.4771,3.6051,8.1655,4.1742,0.803,4.913,0.9871,0.1681,625.899,18.0514,31.1148,7.9952,0.0346,111.589,4.2758,10.13,0.3887,-0.1448,0.2737,4.6977,22.8158,22.3216,fabmetals,1.8407,0.8544,0.2616,22.2925,0.4298,1.9471,1.2024,4.4549,4.2602,0.4418,3.8491,1.0658,0.179,292.363,1.708,27.224,3.9116,0.0011,0.2839,0.3437,5.9534,0.0766,0.0081,0.06,3.3992,0.4569,0.3169,0.364896,0.010982,0.012079,0.008251,0.010288
1499,tha,1997,transpequip,5.199,17.6866,2.809,39.9821,9.6194,4.4965,13.9544,7.3434,6.0013,2.3506,16.4047,5.6082,1.3985,3.8134,3309.09,59.3864,18.1653,0.3229,158.173,37.0522,632.366,2.0883,-1.0452,1.7045,15.9717,14.9812,114.975,transpequip,1.4457,4.8948,1.518,21.9861,0.4769,3.5344,4.6541,4.0063,6.125,1.2933,12.8523,6.055,1.4892,1.7813,313.109,51.9603,8.8872,0.0102,0.4024,2.9783,371.64,0.4116,0.0584,0.3738,11.557,0.3,1.6324,0.282623,0.014018,0.011942,0.018179,0.011852
1500,tha,1997,machinery,9.9548,6.9223,8.0295,49.7478,13.5939,13.1914,26.5747,13.2779,10.4551,4.1113,29.3567,6.6637,3.7594,8.128,368.643,8431.83,21.4469,1.2032,156.596,20.245,121.23,2.125,-1.5413,2.1121,67.8769,31.2031,87.3267,machinery,2.7681,1.9158,4.3391,27.3563,0.6739,10.3689,8.8632,7.244,10.6706,2.2619,22.9996,7.1947,4.0034,3.7967,34.8813,7377.44,10.4927,0.0382,0.3984,1.6273,71.2466,0.4188,0.0861,0.4631,49.1153,0.6249,1.2398,0.257328,0.35626,0.276333,0.166736,0.254099
1501,tha,1997,othermanuf,0.5248,0.2512,0.277,3.3307,0.5165,3.8431,57.0995,26.4039,0.3357,0.765,4.0734,0.3842,0.1919,0.6907,6.4884,20.6356,2460.95,0.0561,19.054,3.9982,15.7487,0.3911,-0.2059,0.471,5.0543,7.9079,83.7053,othermanuf,0.1459,0.0695,0.1497,1.8316,0.0256,3.0208,19.0439,14.4052,0.3426,0.4209,3.1913,0.4149,0.2043,0.3226,0.6139,18.0551,1203.99,0.0018,0.0485,0.3214,9.2555,0.0771,0.0115,0.1033,3.6572,0.1584,1.1884,0.342914,0.041423,0.042816,0.027876,0.045571
1502,tha,1997,water,2.0666,0.9722,1.3728,19.1818,4.3175,13.4096,23.8175,5.0787,3.0825,1.0075,11.8721,1.8039,1.2995,1.5093,8.9847,29.9522,8.0705,171.119,20.7724,16.6999,12.7766,0.5086,-0.4884,1.2084,22.3088,13.1727,43.3183,water,0.5746,0.2691,0.7419,10.5481,0.214,10.5404,7.9437,2.7708,3.1461,0.5543,9.3012,1.9477,1.3838,0.705,0.8501,26.2068,3.9484,5.4301,0.0529,1.3423,7.5088,0.1002,0.0273,0.265,16.1425,0.2638,0.615,0.651373,0.000108,0.000213,0.002467,0.000147
